DriverNumber,BroadcastName,Abbreviation,TeamName,GridPosition,Position,Points,Status,Q1,Q2,Q3,Season,Round,EventName,DidFinish,Podium,Win,RecentAvgFinish,RecentAvgGrid,RecentAvgPoints,RecentDNFRate,TeamRecentAvgPoints,TrackHistoryAvgFinish
23,A ALBON,ALB,Williams,6.0,5.0,10.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,,
14,F ALONSO,ALO,Aston Martin,12.0,17.0,0.0,Retired,,,,2025,1,Australian Grand Prix,0,0,0,,,,,,
12,A ANTONELLI,ANT,Mercedes,16.0,4.0,12.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,,
87,O BEARMAN,BEA,Haas F1 Team,20.0,14.0,0.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,,
5,G BORTOLETO,BOR,Kick Sauber,15.0,16.0,0.0,Retired,,,,2025,1,Australian Grand Prix,0,0,0,,,,,,
7,J DOOHAN,DOO,Alpine,14.0,19.0,0.0,Retired,,,,2025,1,Australian Grand Prix,0,0,0,,,,,,
10,P GASLY,GAS,Alpine,9.0,11.0,0.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,0.0,
6,I HADJAR,HAD,Racing Bulls,11.0,20.0,0.0,Retired,,,,2025,1,Australian Grand Prix,0,0,0,,,,,,
44,L HAMILTON,HAM,Ferrari,8.0,10.0,1.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,,
27,N HULKENBERG,HUL,Kick Sauber,17.0,7.0,6.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,0.0,
30,L LAWSON,LAW,Red Bull Racing,18.0,15.0,0.0,Retired,,,,2025,1,Australian Grand Prix,0,0,0,,,,,,
16,C LECLERC,LEC,Ferrari,7.0,8.0,4.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,1.0,
4,L NORRIS,NOR,McLaren,1.0,1.0,25.0,Finished,,,,2025,1,Australian Grand Prix,1,1,1,,,,,,
31,E OCON,OCO,Haas F1 Team,19.0,13.0,0.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,0.0,
81,O PIASTRI,PIA,McLaren,2.0,9.0,2.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,25.0,
63,G RUSSELL,RUS,Mercedes,4.0,3.0,15.0,Finished,,,,2025,1,Australian Grand Prix,1,1,0,,,,,12.0,
55,C SAINZ,SAI,Williams,10.0,18.0,0.0,Retired,,,,2025,1,Australian Grand Prix,0,0,0,,,,,10.0,
18,L STROLL,STR,Aston Martin,13.0,6.0,8.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,0.0,
22,Y TSUNODA,TSU,Racing Bulls,5.0,12.0,0.0,Finished,,,,2025,1,Australian Grand Prix,1,0,0,,,,,0.0,
1,M VERSTAPPEN,VER,Red Bull Racing,3.0,2.0,18.0,Finished,,,,2025,1,Australian Grand Prix,1,1,0,,,,,0.0,
23,A ALBON,ALB,Williams,10.0,7.0,6.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,5.0,6.0,10.0,0.0,5.0,
14,F ALONSO,ALO,Aston Martin,13.0,17.0,0.0,Retired,,,,2025,2,Chinese Grand Prix,0,0,0,17.0,12.0,0.0,1.0,4.0,
12,K ANTONELLI,ANT,Mercedes,8.0,6.0,8.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,4.0,16.0,12.0,0.0,13.5,
87,O BEARMAN,BEA,Haas F1 Team,17.0,8.0,4.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,14.0,20.0,0.0,0.0,0.0,
5,G BORTOLETO,BOR,Kick Sauber,19.0,14.0,0.0,Lapped,,,,2025,2,Chinese Grand Prix,1,0,0,16.0,15.0,0.0,1.0,3.0,
7,J DOOHAN,DOO,Alpine,18.0,13.0,0.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,19.0,14.0,0.0,1.0,0.0,
10,P GASLY,GAS,Alpine,16.0,20.0,0.0,Disqualified,,,,2025,2,Chinese Grand Prix,0,0,0,11.0,9.0,0.0,0.0,0.0,
6,I HADJAR,HAD,Racing Bulls,7.0,11.0,0.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,20.0,11.0,0.0,1.0,0.0,
44,L HAMILTON,HAM,Ferrari,5.0,19.0,0.0,Disqualified,,,,2025,2,Chinese Grand Prix,0,0,0,10.0,8.0,1.0,0.0,2.5,
27,N HULKENBERG,HUL,Kick Sauber,12.0,15.0,0.0,Lapped,,,,2025,2,Chinese Grand Prix,1,0,0,7.0,17.0,6.0,0.0,2.0,
30,L LAWSON,LAW,Red Bull Racing,20.0,12.0,0.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,15.0,18.0,0.0,1.0,9.0,
16,C LECLERC,LEC,Ferrari,6.0,18.0,0.0,Disqualified,,,,2025,2,Chinese Grand Prix,0,0,0,8.0,7.0,4.0,0.0,1.6666666666666667,
4,L NORRIS,NOR,McLaren,3.0,2.0,18.0,Finished,,,,2025,2,Chinese Grand Prix,1,1,0,1.0,1.0,25.0,0.0,13.5,
31,E OCON,OCO,Haas F1 Team,11.0,5.0,10.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,13.0,19.0,0.0,0.0,1.3333333333333333,
81,O PIASTRI,PIA,McLaren,1.0,1.0,25.0,Finished,,,,2025,2,Chinese Grand Prix,1,1,1,9.0,2.0,2.0,0.0,15.0,
63,G RUSSELL,RUS,Mercedes,2.0,3.0,15.0,Finished,,,,2025,2,Chinese Grand Prix,1,1,0,3.0,4.0,15.0,0.0,11.666666666666666,
55,C SAINZ,SAI,Williams,15.0,10.0,1.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,18.0,10.0,0.0,1.0,5.333333333333333,
18,L STROLL,STR,Aston Martin,14.0,9.0,2.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,6.0,13.0,8.0,0.0,2.6666666666666665,
22,Y TSUNODA,TSU,Racing Bulls,9.0,16.0,0.0,Lapped,,,,2025,2,Chinese Grand Prix,1,0,0,12.0,5.0,0.0,0.0,0.0,
1,M VERSTAPPEN,VER,Red Bull Racing,4.0,4.0,12.0,Finished,,,,2025,2,Chinese Grand Prix,1,0,0,2.0,3.0,18.0,0.0,6.0,
23,A ALBON,ALB,Williams,9.0,9.0,2.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,6.0,8.0,8.0,0.0,4.25,
14,F ALONSO,ALO,Aston Martin,12.0,11.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,17.0,12.5,0.0,1.0,2.5,
12,K ANTONELLI,ANT,Mercedes,6.0,6.0,8.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,5.0,12.0,10.0,0.0,12.5,
87,O BEARMAN,BEA,Haas F1 Team,10.0,10.0,1.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,11.0,18.5,2.0,0.0,3.5,
5,G BORTOLETO,BOR,Kick Sauber,17.0,19.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,15.0,17.0,0.0,0.5,1.5,
7,J DOOHAN,DOO,Alpine,19.0,15.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,16.0,16.0,0.0,0.5,0.0,
10,P GASLY,GAS,Alpine,11.0,13.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,15.5,12.5,0.0,0.5,0.0,
6,I HADJAR,HAD,Racing Bulls,7.0,8.0,4.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,15.5,9.0,0.0,0.5,0.0,
44,L HAMILTON,HAM,Ferrari,8.0,7.0,6.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,14.5,6.5,0.5,0.5,1.25,
27,N HULKENBERG,HUL,Kick Sauber,16.0,16.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,11.0,14.5,3.0,0.0,1.2,
30,L LAWSON,LAW,Racing Bulls,13.0,17.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,13.5,19.0,0.0,0.5,0.8,
16,C LECLERC,LEC,Ferrari,4.0,4.0,12.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,13.0,6.5,2.0,0.5,2.2,
4,L NORRIS,NOR,McLaren,2.0,2.0,18.0,Finished,,,,2025,3,Japanese Grand Prix,1,1,0,1.5,2.0,21.5,0.0,17.5,
31,E OCON,OCO,Haas F1 Team,18.0,18.0,0.0,Finished,,,,2025,3,Japanese Grand Prix,1,0,0,9.0,15.0,5.0,0.0,3.0,
