Driver,Position,Count
ALB,1,43
ALB,2,91
ALB,3,210
ALB,4,366
ALB,5,546
ALB,6,715
ALB,7,877
ALB,8,1097
ALB,9,1140
ALB,10,1348
ALB,11,1600
ALB,12,1852
ALB,13,2171
ALB,14,2448
ALB,15,2753
ALB,16,3192
ALB,17,3655
ALB,18,4360
ALB,19,4927
ALB,20,5460
ALB,21,5601
ALB,22,5548
ALO,1,2
ALO,2,5
ALO,3,13
ALO,4,40
ALO,5,73
ALO,6,162
ALO,7,252
ALO,8,314
ALO,9,499
ALO,10,665
ALO,11,934
ALO,12,1330
ALO,13,1927
ALO,14,2617
ALO,15,3673
ALO,16,4905
ALO,17,5961
ALO,18,6625
ALO,19,6181
ALO,20,5155
ALO,21,4215
ALO,22,4452
ANT,1,2895
ANT,2,3931
ANT,3,4060
ANT,4,4017
ANT,5,4149
ANT,6,3849
ANT,7,3537
ANT,8,3102
ANT,9,2689
ANT,10,2518
ANT,11,2467
ANT,12,2352
ANT,13,2132
ANT,14,1842
ANT,15,1735
ANT,16,1525
ANT,17,1249
ANT,18,900
ANT,19,533
ANT,20,270
ANT,21,106
ANT,22,142
BEA,1,360
BEA,2,701
BEA,3,913
BEA,4,1101
BEA,5,1436
BEA,6,1766
BEA,7,1798
BEA,8,1874
BEA,9,1837
BEA,10,1919
BEA,11,2138
BEA,12,2294
BEA,13,2481
BEA,14,2691
BEA,15,2963
BEA,16,3224
BEA,17,3472
BEA,18,3681
BEA,19,3552
BEA,20,3282
BEA,21,3023
BEA,22,3494
BOR,1,1397
BOR,2,3315
BOR,3,4682
BOR,4,5934
BOR,5,6667
BOR,6,6284
BOR,7,5381
BOR,8,4236
BOR,9,3207
BOR,10,2487
BOR,11,1993
BOR,12,1458
BOR,13,1098
BOR,14,764
BOR,15,503
BOR,16,300
BOR,17,180
BOR,18,77
BOR,19,30
BOR,20,5
BOR,21,2
BOT,1,1
BOT,2,16
BOT,3,44
BOT,4,147
BOT,5,289
BOT,6,588
