Driver,AvgFinish,WinProb%,PodiumProb%,PointsProb%,BestFinish,WorstFinish
HAM,3.521,9.24,54.76,99.92,1,12
PIA,7.3192,14.44,32.06,72.06,1,22
COL,7.7734,2.0,12.22,76.75999999999999,1,21
LIN,8.7428,3.46,13.5,64.58,1,22
LAW,9.4664,1.72,9.1,58.78,1,22
GAS,9.5662,2.32,11.940000000000001,57.16,1,22
HAD,9.6054,6.32,18.12,56.120000000000005,1,22
NOR,9.9296,11.62,26.200000000000003,55.98,1,22
ANT,10.1924,6.4,19.259999999999998,55.620000000000005,1,22
BOR,10.2652,0.52,4.279999999999999,51.25999999999999,1,22
OCO,10.4006,0.02,1.02,51.35999999999999,1,21
VER,10.6484,19.32,33.08,51.68000000000001,1,22
RUS,10.7402,10.38,22.98,50.6,1,22
LEC,12.0262,6.4,18.34,45.300000000000004,1,22
HUL,12.7004,2.46,9.76,41.86,1,22
ALB,13.1632,0.9199999999999999,4.66,32.42,1,22
BEA,13.8086,2.36,7.66,32.54,1,22
SAI,15.0934,0.04,0.8200000000000001,20.02,1,22
ALO,16.3404,0.0,0.02,3.2,3,22
BOT,16.3712,0.06,0.22,14.899999999999999,1,22
PER,17.142,0.0,0.0,2.34,4,22
STR,18.1838,0.0,0.0,5.54,4,22
